OSEBuildingID,BuildingType,NumberofBuildings,NumberofFloors,Latitude,Longitude,LargestPropertyUseType,PropertyGFATotal_avg,PropertyGFAParking_avg,PropertyGFABuilding(s)_avg,LargestPropertyUseTypeGFA_avg,SiteEnergyUse(kBtu)_avg,TotalGHGEmissions_avg,PropertyGFABuilding(s)_%,PropertyGFAParking_%,Dureedevie
26994,NonResidential,1.0,2.0,47.627,-122.29153,Parking,21036.0,0.0,21036.0,11021.0,2682956.25,79.22,1.0,0.0,28
26997,NonResidential,1.0,2.0,47.66272,-122.31798,Parking,32928.0,0.0,32928.0,24288.0,5536391.5,38.595,1.0,0.0,17
27007,NonResidential,1.0,2.0,47.66146,-122.2788,Loisirs,20039.0,0.0,20039.0,20039.0,113439.14845000001,0.79,1.0,0.0,62
27008,SPS-District K-12,1.0,2.0,47.6622,-122.27796,Education,54943.0,0.0,54943.0,57247.0,2065895.125,79.37,1.0,0.0,88
27013,NonResidential,1.0,1.0,47.54761,-122.32759,Non-Refrigerated Warehouse,44476.0,0.0,44476.0,41256.0,1272688.75,22.869999999999997,1.0,0.0,56
27016,NonResidential,1.0,1.0,47.54494,-122.32543,Office,35017.0,0.0,35017.0,19785.0,1356942.625,27.369999999999997,1.0,0.0,47
27020,NonResidential,1.0,3.0,47.66281,-122.30819,Hotel/Senior Care,29084.0,0.0,29084.0,26000.0,1604725.8125,59.935,1.0,0.0,66
27080,NonResidential,1.0,2.0,47.58671,-122.30201,Loisirs,22952.0,0.0,22952.0,22962.0,466429.34375,18.85,1.0,0.0,53
27117,NonResidential,1.0,1.0,47.54443,-122.32688,Non-Refrigerated Warehouse,21040.0,0.0,21040.0,21040.0,598339.5625,18.86,1.0,0.0,40
27122,NonResidential,1.0,2.0,47.54491,-122.32758,Non-Refrigerated Warehouse,28032.0,0.0,28032.0,30000.0,1188902.5,39.980000000000004,1.0,0.0,65
27131,NonResidential,1.0,1.0,47.54333,-122.32792,Distribution Center,25620.0,0.0,25620.0,25620.0,506847.59375,18.055,1.0,0.0,42
27141,NonResidential,1.0,3.0,47.59775,-122.32219,Non-Refrigerated Warehouse,33238.0,0.0,33238.0,33238.0,1700804.5,11.855,1.0,0.0,24
27142,NonResidential,1.0,4.0,47.60745,-122.32542,Education,27800.0,0.0,27800.0,11093.0,1184243.375,38.730000000000004,1.0,0.0,104
27145,NonResidential,1.0,6.0,47.60331,-122.33389,Office,706176.0,58413.5,647762.5,222807.0,13263674.5,92.47,0.92,0.08,16
27162,NonResidential,1.0,1.0,47.54427,-122.38609,Commerce,33706.0,0.0,33706.0,31746.0,8722876.5,207.71,1.0,0.0,18
27184,NonResidential,1.0,2.0,47.65532,-122.37133,Non-Refrigerated Warehouse,37600.0,0.0,37600.0,18400.0,1672974.25,68.37,1.0,0.0,55
27205,SPS-District K-12,1.0,1.0,47.70597,-122.36113,Education,42128.0,0.0,42128.0,42128.0,1702158.25,49.894999999999996,1.0,0.0,62
27231,SPS-District K-12,1.0,2.0,47.68644,-122.38905,Education,44753.0,0.0,44753.0,46545.0,2057762.3125,82.215,1.0,0.0,84
27244,NonResidential,1.0,3.0,47.61314,-122.32262,Other,33708.0,0.0,33708.0,33708.0,770054.0,17.965,1.0,0.0,104
27303,NonResidential,1.0,2.0,47.73368,-122.31366,Other,47237.0,0.0,47237.0,47661.0,6009009.0,41.89,1.0,0.0,68
27365,SPS-District K-12,1.0,2.0,47.67363,-122.39152,Education,57298.0,0.0,57298.0,60882.0,1736197.875,12.105,1.0,0.0,27
27378,NonResidential,1.0,1.0,47.68217,-122.31675,Commerce,76585.0,38585.0,38000.0,41447.0,13962847.5,358.085,0.5,0.5,19
27381,NonResidential,1.0,3.0,47.66295,-122.31494,Loisirs,26373.0,0.0,26373.0,26373.0,741056.5,27.72,1.0,0.0,78
27389,NonResidential,6.0,2.0,47.60207,-122.28481,Office,75868.0,0.0,75868.0,50379.0,3340587.375,23.29,1.0,0.0,60
27406,NonResidential,1.0,2.0,47.62164,-122.31238,Loisirs,21656.0,0.0,21656.0,8030.5,1724115.625,57.629999999999995,1.0,0.0,69
27455,Nonresidential COS,1.0,3.0,47.63319,-122.36294,Distribution Center,23040.0,0.0,23040.0,23040.0,472741.5,3.295,1.0,0.0,95
27456,NonResidential,1.0,2.0,47.63286,-122.36141,Other,36771.0,0.0,36771.0,34856.0,5473098.75,38.155,1.0,0.0,60
27482,NonResidential,1.0,1.0,47.53104,-122.32784,Non-Refrigerated Warehouse,24024.0,0.0,24024.0,14314.0,366844.29689999996,2.56,1.0,0.0,39
27488,NonResidential,1.0,1.0,47.53326,-122.32579,Non-Refrigerated Warehouse,42420.0,0.0,42420.0,27420.0,885588.09375,24.915,1.0,0.0,63
27494,NonResidential,1.0,1.0,47.53379,-122.33063,Distribution Center,36982.0,0.0,36982.0,34382.0,356838.40625,6.57,1.0,0.0,37
