OSEBuildingID,BuildingType,NumberofBuildings,NumberofFloors,Latitude,Longitude,LargestPropertyUseType,PropertyGFATotal_avg,PropertyGFAParking_avg,PropertyGFABuilding(s)_avg,LargestPropertyUseTypeGFA_avg,SiteEnergyUse(kBtu)_avg,TotalGHGEmissions_avg,ENERGYSTARScore,PropertyGFABuilding(s)_%,PropertyGFAParking_%,Dureedevie
25567,NonResidential,1.0,1.0,47.64793,-122.34358,Non-Refrigerated Warehouse,23050.0,0.0,23050.0,23050.0,479429.84375,3.34,27.0,1.0,0.0,78
25572,NonResidential,1.0,1.0,47.66097,-122.3192,Commerce,46059.0,0.0,46059.0,46000.0,1637753.4375,20.15,82.0,1.0,0.0,86
25635,NonResidential,1.0,2.0,47.67437,-122.3181,Santé,23595.0,0.0,23595.0,23595.0,803192.8125,6.41,72.0,1.0,0.0,46
25657,NonResidential,1.0,3.0,47.59938,-122.33328,Office,28142.0,0.0,28142.0,28142.0,909852.90625,35.37,96.0,1.0,0.0,116
25659,NonResidential,1.0,4.0,47.59979,-122.33318,Office,39030.0,0.0,39030.0,32001.0,734796.9375,13.024999999999999,99.0,1.0,0.0,114
25660,NonResidential,1.0,4.0,47.59979,-122.33339,Office,27838.0,0.0,27838.0,27838.0,1281010.5625,8.93,77.0,1.0,0.0,114
25661,NonResidential,1.0,3.0,47.60071,-122.33377,Office,47215.0,0.0,47215.0,23659.0,2566161.0,65.515,58.0,1.0,0.0,107
25671,NonResidential,1.0,2.0,47.61478,-122.31847,Commerce,36940.0,0.0,36940.0,36940.0,494119.20314999996,3.4450000000000003,100.0,1.0,0.0,100
25673,NonResidential,1.0,1.0,47.61466,-122.31984,Commerce,30240.0,0.0,30240.0,32205.0,1254725.4375,17.665,78.0,1.0,0.0,96
25713,NonResidential,1.0,3.0,47.59644,-122.32415,Office,35202.0,0.0,35202.0,24227.0,3450392.75,24.055,2.0,1.0,0.0,37
25737,NonResidential,1.0,6.0,47.61318,-122.32747,Hotel/Senior Care,95117.0,26082.0,69035.0,69035.0,7288335.25,187.995,1.0,0.73,0.27,47
25743,NonResidential,1.0,2.0,47.61426,-122.32661,Loisirs,24600.0,0.0,24600.0,24600.0,340099.25,6.285,69.0,1.0,0.0,106
25772,NonResidential,1.0,3.0,47.58767,-122.38672,Hospital (General Medical & Surgical),54863.0,4115.0,50748.0,109726.0,2047504.3125,14.275,100.0,0.92,0.08,55
25847,NonResidential,1.0,3.0,47.61543,-122.32657,Office,27544.0,0.0,27544.0,22365.0,1035167.25,16.19,94.0,1.0,0.0,99
25914,NonResidential,1.0,1.0,47.62048,-122.31386,Commerce,44739.0,0.0,44739.0,44739.0,14565174.0,390.58,17.0,1.0,0.0,18
25935,NonResidential,1.0,2.0,47.68517,-122.38733,Loisirs,21562.0,0.0,21562.0,21052.0,846924.0,36.07,20.0,1.0,0.0,60
25956,SPS-District K-12,1.0,3.0,47.63408,-122.28483,Education,38297.0,0.0,38297.0,38297.0,1951414.8125,76.05000000000001,85.0,1.0,0.0,91
25965,NonResidential,1.0,16.0,47.63429,-122.27652,Hotel/Senior Care,153312.0,36158.5,117153.5,148590.0,19329162.0,723.05,51.0,0.76,0.24,53
25992,NonResidential,1.0,19.0,47.61811,-122.33908,Office,1206670.0,201857.0,1004813.0,319361.0,28716174.0,412.735,87.0,0.83,0.17,7
26002,NonResidential,1.0,1.0,47.53857,-122.28026,Loisirs,24200.0,0.0,24200.0,24200.0,1009145.84375,30.525,73.0,1.0,0.0,48
26098,NonResidential,1.0,2.0,47.71387,-122.3535,Education,23222.0,0.0,23222.0,15006.0,1221579.5625,54.385000000000005,62.0,1.0,0.0,78
26125,NonResidential,1.0,3.0,47.61339,-122.32594,Education,54391.5,0.0,54391.5,48783.0,3750019.75,128.985,52.0,1.0,0.0,112
26139,NonResidential,1.0,3.0,47.63303,-122.34268,Office,30408.0,0.0,30408.0,25000.0,1452705.125,10.125,61.0,1.0,0.0,36
26146,NonResidential,1.0,3.0,47.63439,-122.34078,Office,30109.0,0.0,30109.0,28400.0,1453713.375,34.065,89.0,1.0,0.0,96
26150,SPS-District K-12,1.0,2.0,47.55257,-122.38019,Education,39929.0,0.0,39929.0,39929.0,1807024.5,47.745000000000005,82.0,1.0,0.0,52
26154,NonResidential,1.0,2.0,47.63985,-122.36712,Office,25481.0,0.0,25481.0,25481.0,829184.65625,34.44,92.0,1.0,0.0,56
26157,NonResidential,1.0,1.0,47.53515,-122.26556,Hotel/Senior Care,141297.0,2276.5,139020.5,141297.0,19185167.0,708.02,76.0,0.98,0.02,49
26183,NonResidential,1.0,2.0,47.62298,-122.33082,Office,27788.0,0.0,27788.0,32610.0,2062291.625,36.025000000000006,73.0,1.0,0.0,104
26218,NonResidential,1.0,4.0,47.729,-122.34473,Hotel/Senior Care/Housing,41704.0,8584.0,33120.0,41704.0,1936798.625,57.535,73.0,0.79,0.21,26
26235,NonResidential,1.0,2.0,47.56683,-122.33358,Non-Refrigerated Warehouse,22324.0,0.0,22324.0,21000.0,558964.0625,20.744999999999997,53.0,1.0,0.0,75
26254,NonResidential,1.0,3.0,47.61545,-122.3238,Office,27600.0,0.0,27600.0,13175.0,1016950.1875,12.34,84.0,1.0,0.0,94
26289,NonResidential,1.0,2.0,47.66312,-122.35311,Hotel/Senior Care,55974.0,0.0,55974.0,56000.0,6041590.0,197.485,98.0,1.0,0.0,55
